高清央视,#genre#
CCTV-1综合[1920x1080],http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1综合[1920x1080],http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8
CCTV-1综合[1920x1080],http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1综合[1920x1080],http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-1综合[1920x1080],http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV-1综合[1920x1080],http://111.20.35.103:6610/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-1综合[1920x1080],http://222.240.82.92:9901/tsfile/live/0001_1.m3u8
CCTV-1综合[1920x1080],http://ktwlplkf.f3322.org:9901/tsfile/live/0001_1.m3u8
CCTV-1综合[1920x1080],http://183.196.25.171:808/hls/1/index.m3u8
CCTV-1综合[1920x1080],http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-2财经[1920x1080],http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-2财经[1920x1080],http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8?
CCTV-2财经[1920x1080],http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
CCTV-2财经[1920x1080],http://111.20.35.103:6610/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-2财经[1920x1080],http://222.240.82.92:9901/tsfile/live/0002_1.m3u8
CCTV-2财经[1920x1080],http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-2财经[1920x1080],http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV-2财经[1920x1080],http://183.196.25.171:808/hls/2/index.m3u8
